step	dice_multi
0	0.4956591512848112
1	0.4956591512848112
2	0.6199705137634406
3	0.8563533404313208
4	0.8832164166897233
5	0.8955973191355717
6	0.8923272350560103
7	0.9024144948487746
8	0.9025754121817102
