step	loss
0	0.4075504541397095
1	0.12980812788009644
2	0.10804622620344162
3	0.0851491168141365
4	0.06993108242750168
5	0.059285957366228104
6	0.05203406512737274
7	0.04635850712656975
8	0.04223274067044258
